joint_0_right_waist,joint_1_right_shoulder,joint_2_right_elbow,joint_3_right_forearm_roll,joint_4_right_wrist_angle,joint_5_right_wrist_rotate,joint_6_left_waist,joint_7_left_shoulder,joint_8_left_elbow,joint_9_left_forearm_roll,joint_10_left_wrist_angle,joint_11_left_wrist_rotate,timestamp
80.21359643436894,40.86362300315886,66.45840033681557,-45.410346744908374,-17.69558449496819,0.4754651724134092,-77.55324735459054,-43.5219929308952,-70.12539192040774,79.21171157795352,15.613722509906644,33.80930180553422,1763551021.6155543
80.21360366750811,40.86331209098544,66.4582593331195,-45.410820852247106,-17.695060073790344,0.4753815095167657,-77.54181995063891,-43.52766818282554,-70.09623459966714,79.29688716532308,15.608107838927426,33.74279655194124,1763551021.7960577
80.21357818529599,40.862926604877984,66.45852390119818,-45.41039936624153,-17.694864472221557,0.4752060209633345,-77.51599779682647,-43.530514588667955,-70.04162628710485,79.42926504931556,15.598162420009087,33.62646111007133,1763551021.9869092
80.21351904166002,40.86314299002417,66.45887869528474,-45.41085512707978,-17.694747718578526,0.47538700776227166,-77.46558723843971,-43.52422813265394,-69.9597277758618,79.71701057874695,15.596611189227037,33.41397752393749,1763551022.2007852
80.21338289123283,40.86271482179363,66.45813756665935,-45.41087940619015,-17.694774342893368,0.4758160687579806,-77.37883647260979,-43.51850922899545,-69.84619931767165,80.1885656141609,15.60265781219688,33.06073449344495,1763551022.446802
80.21335900973786,40.86314490150522,66.45897884736283,-45.410820090774074,-17.694865783220017,0.4760756024401688,-77.36628223451254,-43.51916590629226,-69.83399174462846,80.20769872828936,15.595827593373194,33.01090171820587,1763551022.616943
80.2135823464769,40.86326923612078,66.45876327763803,-45.41095441854805,-17.694848699004236,0.4752585948646674,-77.3020181447088,-43.51465268189944,-69.7700773351662,80.5418731223964,15.600903369125032,32.74366015045005,1763551022.8506713
80.21368667725574,40.863146994915084,66.45892772312327,-45.41057210182638,-17.694864162525942,0.47586571961988067,-77.23912457574586,-43.486908876989666,-69.74554381584262,80.81250789622213,15.613398407451385,32.53109907864014,1763551023.0702333
80.21335179855193,40.862668287330614,66.4587410366004,-45.41080040784996,-17.694657981417496,0.4757574114050159,-77.22085501183292,-43.47538073040808,-69.75297266875874,80.83380118411345,15.614271223369036,32.48798181078599,1763551023.2300336
80.21372686397359,40.86287218070829,66.45947806600537,-45.41082284652019,-17.69442896519853,0.47607873764085873,-77.18591012569387,-43.450911963509455,-69.76729060967683,80.95697390747122,15.633421514536161,32.407803230301006,1763551023.414484
80.21343538175456,40.86269557045637,66.45916767558201,-45.41093127352826,-17.694941477143285,0.4754349378318618,-77.13413000600805,-43.379814802482976,-69.86781111700404,80.99533423469207,15.67427821141851,32.379833734580274,1763551023.5927083
80.21342162011653,40.86262789133587,66.45884409868485,-45.410607244853686,-17.695236350523913,0.47579489942313286,-77.12754614730063,-43.33432883096204,-69.98624007804864,80.7740014207467,15.706231329992152,32.552991430685594,1763551023.80383
80.21347398271124,40.86293745736428,66.4587267042582,-45.41013975521556,-17.69537980614605,0.47555073893921634,-77.17264527313115,-43.27068862179455,-70.26889064965331,79.98626079016088,15.749820466853436,33.177531646465724,1763551024.0995634
80.21347136755134,40.86263097087895,66.45909475919785,-45.41036549479299,-17.695224541068566,0.4757476714299681,-77.17430778990293,-43.18179520084594,-70.50974252312206,79.49128716355348,15.802679779813822,33.693255487482645,1763551024.3539755
80.21301623700082,40.86296443367879,66.45863235817161,-45.410032981056915,-17.695701436201936,0.47556933576540883,-77.13475917014243,-43.02681975824759,-70.78064804033578,79.15568423435803,15.892568540948838,34.04940909678034,1763551024.5877376
80.21259698584595,40.86230463225329,66.45881417433306,-45.40980284783991,-17.695322672593772,0.4760747443942393,-77.08639819290106,-42.836579231699844,-71.1145973217303,78.74248837640147,15.991447431910446,34.52336581781226,1763551024.8444784
80.21287264335635,40.86292751890201,66.45823424424965,-45.41014702008277,-17.695895422952216,0.4751225629636149,-76.97236551503656,-42.53742243463148,-71.54760225496013,78.42913581386452,16.17245072305935,34.880034848522776,1763551025.0831928
80.21243448869757,40.86270634068477,66.45891846131225,-45.40988869644618,-17.6954027015078,0.4753062708428428,-76.80096847983371,-42.25928985650046,-71.85774391879973,78.478361494612,16.338501207321176,34.94079987946441,1763551025.3091424
80.21275422276254,40.86215958061445,66.45847865871815,-45.410220207276986,-17.695506905908623,0.4751376582477325,-76.69384191907767,-42.07669045950946,-72.00015443467171,78.64067804085539,16.46556701743052,34.81630121691045,1763551025.5147521
80.21298578577122,40.86273916222352,66.4587947746111,-45.410648283528246,-17.695326198786507,0.4755754352680117,-76.47435243069738,-41.85960651684557,-72.04026900447852,79.50294761486512,16.639994747079502,34.015287189104406,1763551025.8080914
80.21327759723545,40.86263003175024,66.45901822239829,-45.41091179443279,-17.694703337776613,0.47578395354208847,-76.23038599220583,-41.64042038876144,-72.02162165031115,80.39624766832765,16.80904766019563,33.15160437258576,1763551026.109512
80.21342224954964,40.86207778251484,66.45922578020469,-45.4115778141274,-17.694616044422688,0.4759019642085158,-75.73188029390222,-41.229101083395584,-71.8714788901703,82.51379203653309,17.161738046564594,31.231900813248707,1763551026.5006082
80.2131691601855,40.8615561012725,66.45891595575831,-45.41205346684615,-17.695016294218817,0.47583791346214677,-75.30653330513425,-40.875688383835254,-71.86156984624132,84.17512744885632,17.49617507529726,29.78429690568013,1763551026.8635857
